model	target	rate	maxx	rate01	rate99	flow_mean	flow01	flow99
4 states	CRTISO3bp	Cutting	0.0180238352673982	0.0116111580849901	0.115589935783865	NA	0.573363229447082	5.83201160691102
4 states	CRTISO3bp	pDSB -> procDSB	0.478609068725885	0.214220885164783	2.15027594894094	0.614535084774344	0.281011533481709	2.77399108116358
4 states	CRTISO3bp	Repair-error (from direct DSB)	0.199397383851734	0.0870941981633896	0.376663313684231	0.256098145914548	0.110795703259049	0.486867650684547
4 states	CRTISO3bp	Repair-error (from indirect DSB)	0.0364366887746302	0	0.0962172463674494	0.169247117997095	0	0.405154502619967
4 states	CRTISO3bp	Precise Repair (from direct DSB)	0	0	4.07968915471494	0	0	5.27054027085705
4 states	CRTISO3bp	Precise Repair (from indirect DSB)	0.083412456613912	0	0.596819840932675	0.387429682659441	0	2.72845446681485
4 states	CRTISO3bp	U (induction)	0	0	7.00932354256994e-05	NA	NA	NA
4 states	CRTISO3bp	r (induction)	9.30472790184074	2.74490658736398	1676.91443987883	NA	NA	NA
4 states	CRTISO3bp	decay (induction)	0	0	0.000232826745784566	NA	NA	NA
4 states	CRTISO	Cutting	0.0178060832685538	0.0135811074161437	0.0335582968093152	NA	0.548670686397613	1.39524782462421
4 states	PhyB2	Cutting	0.0645548113459241	0.0432055661371223	0.322982510506437	NA	0.573980118933284	8.4771501365349
4 states	Psy1	Cutting	0.0104237130686375	0.00869529601475848	0.383874914644995	NA	0.441201770178626	21.7711353032689
4 states	CRTISO	pDSB -> procDSB	0.0183383887404786	0.0126629922094301	0.153567531523218	0.0660700237863276	0.0477146674980842	0.558662595921147
4 states	PhyB2	pDSB -> procDSB	0.0224213860147332	0.0108209504801727	0.05454653464234	0.124363076563015	0.0629621586827711	0.296401393123988
4 states	Psy1	pDSB -> procDSB	0.00900666088255948	0.00751384871741659	0.0127037059846171	0.0315610864107368	0.025229953145686	0.0436044082051577
4 states	CRTISO	Repair-error (from direct DSB)	0.113849499133212	0.0926348529516358	0.135645431140672	0.410140763415411	0.340201457727697	0.489732220497517
4 states	PhyB2	Repair-error (from direct DSB)	0.0742192029228681	0.0400366842078418	0.0968074027177109	0.411644951097312	0.217607727481805	0.485655900523527
4 states	Psy1	Repair-error (from direct DSB)	0.0421464608682362	0.035331673790809	0.0502268524235547	0.147684478222497	0.132258219387371	0.161170176218242
4 states	CRTISO	Repair-error (from indirect DSB)	0	0	0	0	0	0
4 states	PhyB2	Repair-error (from indirect DSB)	0.167917301825144	0.065936637843081	0.62440700392945	0.120611574724518	0.0554755221340648	0.294105406614134
4 states	Psy1	Repair-error (from indirect DSB)	0	0	0	0	0	0
4 states	CRTISO	Precise Repair (from direct DSB)	0.0836024105022907	0	0.187167226616856	0.301185282134665	0	0.655141049951139
4 states	PhyB2	Precise Repair (from direct DSB)	0.048249491843773	0.00302684162798304	1.86877461799558	0.267615047131532	0.0174797831207659	7.86497647122103
4 states	Psy1	Precise Repair (from direct DSB)	0.117958432302415	0.0637689842587917	6.69853446032997	0.413304192774038	0.217956589247032	21.4025764142203
4 states	CRTISO	Precise Repair (from indirect DSB)	0	-2.77555756156289e-19	0.27409370001012	0	0	0.53669337994614
4 states	PhyB2	Precise Repair (from indirect DSB)	0	0	0.000412173272257768	0	0	0.000434321215824236
4 states	Psy1	Precise Repair (from indirect DSB)	0	0	0.0191691274096487	0	0	0.0194292822101481
4 states	CRTISO	U (induction)	0	0	0.274076567671322	NA	NA	NA
4 states	PhyB2	U (induction)	0.404855568184717	0	0.436922194016163	NA	NA	NA
4 states	Psy1	U (induction)	0	0	0.490437363935437	NA	NA	NA
4 states	CRTISO	r (induction)	11.4862274313352	4.5797553053774	1070.38881811607	NA	NA	NA
4 states	PhyB2	r (induction)	10.4841536617271	3.44901381949011	6898.78130519627	NA	NA	NA
4 states	Psy1	r (induction)	15.4793920122327	2.22690224977136	2878.20074557952	NA	NA	NA
4 states	CRTISO	decay (induction)	0.00205025249253126	0	0.00476029062534772	NA	NA	NA
4 states	PhyB2	decay (induction)	0	0	0.00696902309498285	NA	NA	NA
4 states	Psy1	decay (induction)	0	0	0.000404597799601124	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO3bp	Cutting	0.00707960257734398	0.00481072732157987	0.0276162858693198	NA	0.206175581221852	1.38174912818209
modelDSBs1i1_realimprecise	CRTISO3bp	Imprecise cutting	0.00697109471935154	0	0.0156001540169508	NA	0	0.720118729502744
modelDSBs1i1_realimprecise	CRTISO3bp	pDSB -> procDSB	0	0	0.740746770892031	0	0	1.00751655090609
