time	y1	y2	y3	y4
0	608	0	0	2
0	146	0	0	0
0	303	0	0	3
0	7	0	0	0
0.5	1135	0	2	8
0.5	672	0	3	6
0.5	982	0	1	2
0.5	1364	0	1	9
2.5	841	2	19	10
2.5	424	3	18	7
2.5	915	2	21	4
2.5	1323	3	39	9
4.5	16	1	0	0
4.5	143	2	0	1
4.5	455	2	11	7
4.5	559	4	22	6
6.5	1155	26	57	9
6.5	777	23	49	9
6.5	304	6	13	2
6.5	684	19	36	6
12.5	457	40	40	11
12.5	508	41	38	11
12.5	454	26	30	7
12.5	208	17	25	3
24.5	258	46	35	6
24.5	156	24	15	3
24.5	271	29	33	14
24.5	378	46	40	11
36.5	134	20	17	4
36.5	182	20	12	1
36.5	143	27	10	6
36.5	234	49	26	10
48.5	101	26	10	4
48.5	145	24	9	1
48.5	229	33	9	3
48.5	150	20	13	2
